FittingType,DN15,DN20,DN22,DN25,DN28,DN32,DN35,DN40,DN50,DN65,DN80,DN100,DN125,DN150
ElbowLR_90,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.2,1.5,1.8,2.4,3.0,3.6
ElbowSR_90,0.5,0.6,0.7,0.9,1.0,1.2,1.3,1.5,1.8,2.2,2.7,3.6,4.5,5.4
Elbow_45,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.8,1.0,1.3,1.6,1.9
TeeThrough,0.2,0.3,0.3,0.4,0.5,0.5,0.6,0.7,0.9,1.1,1.3,1.7,2.1,2.5
TeeBranch,0.9,1.2,1.3,1.6,1.8,2.1,2.4,2.7,3.4,4.2,5.0,6.7,8.4,10.0
Reducer,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.7,0.8,1.0,1.3,1.7,2.0
GateValve_Open,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.6,0.8,1.0,1.2
GlobeValve_Open,4.5,6.0,6.6,7.5,8.4,9.0,10.5,12.0,15.0,18.0,21.0,30.0,36.0,45.0
BallValve_Open,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.8,1.0,1.3,1.6,1.9
CheckValve_Swing,1.4,1.8,2.0,2.4,2.7,3.0,3.4,3.8,4.6,5.8,7.0,9.0,11.0,14.0
CheckValve_Spring,3.0,4.0,4.5,5.5,6.0,7.0,8.0,9.0,11.0,14.0,17.0,22.0,28.0,34.0
StrainerY,2.0,2.6,2.8,3.4,3.8,4.2,4.6,5.0,6.0,7.5,9.0,12.0,15.0,18.0
Coupling,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.5,0.6,0.8,1.0,1.2
